rank,ja_value,count,sample_path,sample_ns,proposed_ko
1,CSVエクスポート,12,crm.email.catalogSync.exportCsv,crm,
2,A/Bテスト,11,crm.email.campaignMgr.tabAbTest,crm,
3,チャネル連携,9,crm.aiHub.catalogSync.sms.ihubLinked,crm,
4,セキュリティ有効,8,crm.email.aiPolicy.badgeSecurity,crm,
5,トリガー,8,crm.aiHub.catalogSync.webPopup.colTrigger,crm,
6,ネガティブ,7,crm.aiHub.reviews.filterNegative,crm,
7,ポジティブ,7,crm.aiHub.reviews.filterPositive,crm,
8,AIルール,6,crm.email.aiPolicy.syncActiveRules,crm,
9,カスタマージャーニービルダー,6,ruleEnginePage.gNav.journeyBuilder,ruleEnginePage,
10,下書き,6,ruleEnginePage.operations.draft,ruleEnginePage,
11,予約済み,6,crm.email.campaignMgr.statusScheduled,crm,
12,接続チャネル,6,crm.aiHub.crm.email.connectedChannels,crm,
13,AIがクリエイターデータを分析中です...,5,crm.aiHub.reviews.C_35,crm,
14,AIモデル駆動 · ROI·コンバージョン·エンゲージメント·コミッション推奨·契約更新提案 + 地域·年齢·性別分析,5,crm.aiHub.reviews.txt_ClaudeSonn_33,crm,
15,Excelエクスポート,5,crm.email.catalogSync.exportExcel,crm,
16,カート,5,pages.perms.menu.marketingIntel.funnelCart,pages,
17,キャンペーン作成,5,ruleEnginePage.operations.createCampaign,ruleEnginePage,
18,キャンペーン管理,5,ruleEnginePage.gNav.campaignManager,ruleEnginePage,
19,ライトバック設定,5,crm.email.alertAuto.tabSettingsDesc,crm,
20,リアルタイムクロスタブ同期有効 — 全モジュールデータがリアルタイム反映,5,crm.aiHub.catalogSync.reviews.liveSyncMsg,crm,
21,レビューフィード,5,crm.aiHub.reviews.feedTitle,crm,
22,連携ハブへ移動,5,ruleEnginePage.super.emptyGoHub,ruleEnginePage,
23,🤖 AIリアルタイムクリエイター総合評価,5,crm.aiHub.reviews._32,crm,
24,30分ごと,4,crm.email.catalogSync.every30min,crm,
25,AIデザイン生成,4,ruleEnginePage.operations.ai_generateAI,ruleEnginePage,
26,ESGレポート,4,pages.marketingIntel.esgTitle,pages,
27,SKUスコア,4,pages.graphScore.tabSku,pages,
28,⚙ ライトバック設定,4,pages.writeback.settingsTitle,pages,
29,アトリビューション分析,4,ruleEnginePage.gNav.attribution,ruleEnginePage,
30,インフルエンサースコア,4,pages.graphScore.tabInfluencer,pages,
31,ウェルカム,4,crm.aiHub.crm.email.catWelcome,crm,
32,エッジなし — 統合ハブでチャネルを接続してください,4,crm.aiHub.catalogSync.graph.noEdge,crm,
33,カスタム,4,ruleEnginePage.operations.ai_plat_custom,ruleEnginePage,
34,カート離脱,4,crm.aiHub.catalogSync.webPopup.aiThemeCart,crm,
35,クリエイティブスコア,4,pages.graphScore.tabCreative,pages,
36,グラフスコア,4,ruleEnginePage.dash.GraphScore,ruleEnginePage,
37,グラフブラウザ,4,pages.graphScore.tabBrowser,pages,
38,コンテンツ登録,4,crm.aiHub.catalogSync.contentCal.registerTitle,crm,
39,コンプライアンス用全操作記録,4,pages.writeback.cfgAuditLogDesc,pages,
40,ジョブ履歴,4,pages.writeback.jobHistory,pages,
41,セキュリティ監視,4,ruleEnginePage.supplyChain.guideStep9Title,ruleEnginePage,
42,ソースノード,4,crm.aiHub.catalogSync.graph.sourceNode,crm,
43,タイトル,4,crm.aiHub.catalogSync.webPopup.title,crm,
44,ターゲットノード,4,crm.aiHub.catalogSync.graph.targetNode,crm,
45,テンプレート名,4,crm.aiHub.crm.email.lblTplName,crm,
46,デモモード — ライトバック操作不可,4,pages.writeback.demoGuard,pages,
47,デモモードでは実行不可,4,pages.perms.menu.approvals.GuardExecute,pages,
48,デモモードでは承認/却下不可,4,pages.perms.menu.approvals.GuardDecide,pages,
49,データウェアハウス,4,crm.email.conn.tabDW,crm,
50,ニュートラル,4,crm.aiHub.reviews.filterNeutral,crm,
51,パス重み,4,crm.aiHub.catalogSync.graph.pathW,crm,
52,フラッシュセール,4,ruleEnginePage.operations.ai_flash,ruleEnginePage,
53,フレンドリー,4,crm.email.campaignMgr.toneFriendly,crm,
54,プロフェッショナル,4,crm.email.campaignMgr.toneProfessional,crm,
55,ポップアップ管理,4,crm.aiHub.catalogSync.webPopup.tabManage,crm,
56,予算プランナー,4,ruleEnginePage.gNav.budgetTracker,ruleEnginePage,
57,承認リクエストなし,4,pages.perms.menu.approvals.noRequests,pages,
58,接続された貢献パスなし,4,crm.aiHub.catalogSync.graph.noPath,crm,
59,貢献インフルエンサー,4,crm.aiHub.catalogSync.graph.contribInfluencer,crm,
60,貢献クリエイティブ,4,crm.aiHub.catalogSync.graph.contribCreative,crm,
61,重み,4,crm.aiHub.catalogSync.graph.weight,crm,
62,📋 アラート履歴,4,crm.email.catalogSync.tabHistory,crm,
63,📋 承認キュー,4,pages.perms.menu.approvals.requestList,pages,
64,📖 ガイド,4,crm.aiHub.tab_guide,crm,
65,🛤 貢献パス,4,crm.aiHub.catalogSync.graph.contribPath,crm,
66,1時間ごと,3,crm.email.catalogSync.every1hour,crm,
67,20項目KPI貢献度スコアリング,3,pages.perms.menu.marketingIntel.tabKpiDesc,pages,
68,4チャンネル,3,pages.perms.menu.marketingIntel.badge4ch,pages,
69,5インフルエンサー,3,pages.perms.menu.marketingIntel.badge5inf,pages,
70,6時間ごと,3,crm.email.catalogSync.every6hours,crm,
71,AIマーケティング手法推薦,3,pages.perms.menu.marketingIntel.tabAiDesc,pages,
72,APIキー設定,3,crm.aiHub.catalogSync.sms.apiKeySettings,crm,
73,CPO (件当たりコスト),3,pages.perms.menu.marketingIntel.cpo,pages,
74,CSVインポート,3,crm.email.catalogSync.importCsv,crm,
75,Claude AIがチャネル・カテゴリ・ターゲットに合わせた広告素材を自動生成します,3,pages.perms.menu.marketingIntel.adCreativeSub,pages,
76,SMSマーケティング,3,ruleEnginePage.gNav.smsMarketing,ruleEnginePage,
77,⚙️ マーケティング自動化,3,pages.perms.menu.marketingIntel.tabAuto,pages,
78,⚙️ 自動化ルール一覧,3,pages.perms.menu.marketingIntel.autoRules,pages,
79,✍️ コピーのトーン,3,pages.perms.menu.marketingIntel.adTone,pages,
80,✕ 却下済み,3,pages.perms.menu.marketingIntel.rejected,pages,
81,✨ AI広告素材を生成,3,pages.perms.menu.marketingIntel.adGenerate,pages,
82,⬇ ダウンロード,3,pages.perms.menu.marketingIntel.adDownload,pages,
83,アトリビューション,3,ruleEnginePage.dash.Attribution,ruleEnginePage,
84,アナリティクス,3,ruleEnginePage.gNav.analytics,ruleEnginePage,
85,イベント,3,crm.email.pxl.tabEvents,crm,
86,インフルエンサー規模,3,pages.perms.menu.marketingIntel.dimTier,pages,
87,ウェブポップアップ管理,3,crm.aiHub.catalogSync.webPopup.pageTitle,crm,
88,オムニチャネル,3,ruleEnginePage.gNav.omniChannel,ruleEnginePage,
89,カタログ同期,3,ruleEnginePage.gNav.catalog,ruleEnginePage,
90,カテゴリマッピング,3,crm.email.catalogSync.tabCategoryMapping,crm,
91,カート→購入,3,pages.perms.menu.marketingIntel.cartToBuy,pages,
92,カート率,3,pages.perms.menu.marketingIntel.cartRate,pages,
93,キーワード,3,pages.perms.menu.marketingIntel.adKeywords,pages,
94,クリック率(CTR),3,pages.perms.menu.marketingIntel.ctr,pages,
95,グラフスコアリング,3,pages.graphScore.pageTitle,pages,
96,コホート分析,3,pages.marketingIntel.attrData.tabCohortLabel,pages,
97,コンテンツ種別,3,pages.perms.menu.marketingIntel.dimContent,pages,
98,サプライヤー,3,ruleEnginePage.wms.tabSupplierDesc,ruleEnginePage,
99,サマリースコア,3,pages.graphScore.tabSummary,pages,
100,ショートカットURL,3,crm.aiHub.catalogSync.webPopup.linkEnabled,crm,
101,ジャーニー名,3,crm.aiHub.journey.journeyName,crm,
102,スケジュール,3,crm.email.campaignMgr.tabGantt,crm,
103,セキュリティロック有効,3,crm.email.dt.secLockTitle,crm,
104,セキュリティ正常,3,crm.aiHub.catalogSync.pnl.securityNormal,crm,
105,タッチポイント数,3,pages.perms.menu.marketingIntel.dimTouch,pages,
106,ダッシュボード利用ガイド,3,crm.aiHub.dashGuide.title,crm,
107,チャネルKPIダッシュボード,3,crm.aiHub.omniChannel.tabOverviewDesc,crm,
108,チャネル手数料,3,ruleEnginePage.marketing.channelFeeTitle,ruleEnginePage,
109,チャネル種別,3,pages.perms.menu.marketingIntel.dimChannel,pages,
110,チャネル精算管理,3,ruleEnginePage.super.pageTitle,ruleEnginePage,
111,テスト送信,3,crm.aiHub.journey.emailTestSend,crm,
112,デバイス,3,pages.perms.menu.marketingIntel.dimDevice,pages,
113,ドメイン,3,crm.email.ds.domain,crm,
114,ニュースレター,3,crm.aiHub.catalogSync.journey.aiThemeNewsletter,crm,
115,ネガティブレビュー,3,crm.aiHub.reviews.kpiNegative,crm,
116,ハッシュタグ,3,pages.perms.menu.marketingIntel.adHashtags,pages,
117,ファネル・チャネル・インフルエンサー転換,3,pages.perms.menu.marketingIntel.tabFunnelDesc,pages,
118,フィールド,3,crm.email.ds.thField,crm,
119,プロモーション種別,3,pages.perms.menu.marketingIntel.dimCoupon,pages,
120,ヘッドライン,3,pages.perms.menu.marketingIntel.adHeadline,pages,
121,ポリシーなし,3,crm.email.aiPolicy.noPolicies,crm,
122,ポリシー名,3,crm.email.aiPolicy.policyName,crm,
123,メッセージ内容,3,crm.aiHub.catalogSync.sms.messageContent,crm,
124,モニタリング,3,crm.email.campaignMgr.tabMonitor,crm,
125,モバイル転換,3,pages.perms.menu.marketingIntel.mobileCvr,pages,
126,ライブプレビュー,3,crm.aiHub.catalogSync.webPopup.badgeLive,crm,
127,リアルタイムクロスタブ同期有効 — すべてのメニューのデータがリアルタイムで反映されます。,3,crm.aiHub.crm.liveSyncStatus,crm,
128,ルールなし,3,crm.email.alertAuto.noRules,crm,
129,ルール名,3,ruleEnginePage.supplyChain.ruleName,ruleEnginePage,
130,レポートビルダー,3,ruleEnginePage.gNav.reportBuilder,ruleEnginePage,
131,ローアス,3,performance.kpiRoas,performance,
132,"例: 保湿, 弾力, 肌バリア",3,pages.perms.menu.marketingIntel.adKeywordPh,pages,
133,例: 保湿クリーム プレミアム 50ml,3,pages.perms.menu.marketingIntel.adProductPh,pages,
134,保存済みレイアウト,3,crm.aiHub.catalogSync.reportBuilder.tabSaved,crm,
135,契約タイプ,3,crm.email.ds.fContractType,crm,
136,実行アクション:,3,pages.perms.menu.marketingIntel.actionLabel,pages,
137,悪意のある入力が検知されブロックされました。,3,crm.aiHub.catalogSync.caseStudy.securityDesc,crm,
138,承認キュー,3,crm.email.mr.tabApproval,crm,
139,承認ゲート,3,crm.email.aiPolicy.cfgApprovalGate,crm,
140,接続チャネルがありません。統合ハブでAPIキーを登録してください。,3,crm.aiHub.crm.noConnectedChannels,crm,
141,日残り,3,crm.email.campaignMgr.daysLeft,crm,
142,本文コピー,3,pages.perms.menu.marketingIntel.adBody,pages,
143,注文番号・購入者・商品名で検索...,3,ruleEnginePage.super.searchPlaceholder,ruleEnginePage,
144,流入・転換・貢献度データ基盤 最適マーケティング戦略推薦,3,pages.perms.menu.marketingIntel.aiEngineDesc,pages,
145,流入・転換分析 · 20項目KPI貢献度スコアリング · AI推薦 · 自動化承認実行,3,pages.perms.menu.marketingIntel.pageSub,pages,
146,為替レート,3,crm.email.settlements.exchangeRate,crm,
147,現在のプラン,3,crm.aiHub.catalogSync.ihub.licCurrentPlan,crm,
148,監査ログなし,3,crm.email.dt.auditEmpty,crm,
149,統合ハブへ移動,3,crm.aiHub.crm.goIntegrationHub,crm,
150,自動化ルール・承認・実行,3,pages.perms.menu.marketingIntel.tabAutoDesc,pages,
151,連携済み,3,crm.email.dt.integrated,crm,
152,🎨 AI広告クリエイティブ生成スタジオ,3,pages.perms.menu.marketingIntel.adCreativeTitle,pages,
153,🎨 クリエイティブ,3,crm.aiHub.crm.email.tabCreative,crm,
154,🎨 クリエイティブスタイル,3,pages.perms.menu.marketingIntel.adStyle,pages,
155,🎨 生成された広告素材,3,pages.perms.menu.marketingIntel.adResult,pages,
156,🎯 ターゲット,3,pages.perms.menu.marketingIntel.adTarget,pages,
157,🏆 チャネル総合貢献度スコア (20項目加重合算),3,pages.perms.menu.marketingIntel.kpiTotal,pages,
158,📊 流入・転換分析,3,pages.perms.menu.marketingIntel.tabFunnel,pages,
159,📋 20項目標準評価指標詳細 (チャネル別),3,pages.perms.menu.marketingIntel.kpiTable,pages,
160,📋 コピー,3,pages.perms.menu.marketingIntel.adCopy,pages,
161,📐 広告サイズ,3,pages.perms.menu.marketingIntel.adSize,pages,
162,📖 利用ガイド,3,ruleEnginePage.marketing.guideTabGuideName,ruleEnginePage,
163,📜 自動化実行ログ,3,pages.perms.menu.marketingIntel.execLog,pages,
164,📢 広告プラットフォーム選択,3,pages.perms.menu.marketingIntel.adPlatform,pages,
165,📣 CTAボタン,3,pages.perms.menu.marketingIntel.adCta,pages,
166,📣 チャネル別流入・転換詳細 (クリックで展開),3,pages.perms.menu.marketingIntel.channelDetail,pages,
167,🔑 キーワード,3,pages.perms.menu.marketingIntel.adKeyword,pages,
168,🔽 全体マーケティングファネル (4チャネル統合),3,pages.perms.menu.marketingIntel.funnelTotal,pages,
169,🕸️ モデル比較,3,attribution.modelCompare,attribution,
170,🛡️ ポリシー,3,crm.email.aiPolicy.tabPolicies,crm,
171,🤖 AIが広告素材を生成中…,3,pages.perms.menu.marketingIntel.adGenerating,pages,
172,🤖 AI推薦エンジン,3,pages.perms.menu.marketingIntel.tabAi,pages,
173,🤖 Claude AI マーケティング推薦エンジン,3,pages.perms.menu.marketingIntel.aiEngine,pages,
174,🤝 インフルエンサーキャンペーン流入・転換,3,pages.perms.menu.marketingIntel.infFunnel,pages,
175,🧠 マーケティングインテリジェンス,3,pages.perms.menu.marketingIntel.pageTitle,pages,
176,+ インポート,2,ruleEnginePage.super.importBtn,ruleEnginePage,
177,100+システム統合対応,2,pages.marketingIntel.onboarding.kpiConnector,pages,
178,12時間ごと,2,crm.email.catalogSync.schedFreq12h,crm,
179,3PL、サプライチェーン、返品、アジア、アラート。,2,pages.marketingIntel.onboarding.guideSecOps,pages,
180,3PLパートナー登録,2,pages.marketingIntel.onboarding.step3PL,pages,
181,3PL・物流・サプライチェーン・返品統合運営,2,pages.marketingIntel.onboarding.roleOpsDesc,pages,
182,3段階ドリルダウン,2,ruleEnginePage.accountPerf.guideTabDrilldownDesc,ruleEnginePage,
183,400+ APIエンドポイント対応,2,pages.marketingIntel.onboarding.kpiAPIKey,pages,
184,52週時系列データ,2,pages.marketingIntel.attrData.timeSeries,pages,
185,5つのモデル,2,pages.marketingIntel.attrData.tabMtaDesc,pages,
186,5ステップカスタムパス,2,pages.marketingIntel.onboarding.fiveStepPath,pages,
187,A/Bテスト実行,2,pages.marketingIntel.onboarding.stepABTest,pages,
188,A/Bテスト結果,2,crm.aiHub.catalogSync.webPopup.abResult,crm,
189,AIが顧客セグメントを自動生成し、最適な送信時間にEmail・Kakao・SMSを自動配信します。,2,pages.marketingIntel.onboarding.stepAIMarketingDesc,pages,
190,AIオートマーケティング,2,ruleEnginePage.gNav.autoMarketing,ruleEnginePage,
191,AIポリシー,2,ruleEnginePage.dash.AIPolicy,ruleEnginePage,
192,AIモニタリング,2,pages.marketingIntel.marketingIntel.channelKpiPage.guideMonitorName,pages,
193,AIルールエンジンとAIポリシーからの承認リクエストがリアルタイムで表示されます。,2,pages.marketingIntel.marketingIntel.approvals.noRequestsDesc,pages,
194,AI分析と改善,2,pages.marketingIntel.marketingIntel.channelKpiPage.guideMonitorDesc,pages,
195,AI自動化へ,2,crm.email.campaignMgr.btnAutoMarketing,crm,
196,AI自動化ルールの実行条件・承認フロー・監査ログを構成します。,2,pages.marketingIntel.onboarding.stepAIPolicyDesc,pages,
197,AI返信トーン,2,crm.aiHub.reviews.aiToneLabel,crm,
198,APIキー、コネクタ、スキーマ、監視、AI。,2,pages.marketingIntel.onboarding.guideSecDev,pages,
199,APIキー発行,2,pages.marketingIntel.onboarding.stepAPIKey,pages,
200,APIレイテンシ、DLQエラー、バッチジョブ状態をリアルタイムで監視します。,2,pages.marketingIntel.onboarding.stepSysMonitorDesc,pages,
201,API連携、システム監視、データスキーマ,2,pages.marketingIntel.onboarding.roleDevDesc,pages,
202,CRMセグメント,2,crm.email.dt.srcCRM,crm,
203,CRMセグメント設定,2,pages.marketingIntel.onboarding.stepCRM,pages,
204,CSVダウンロード,2,crm.email.settlements.csvDownload,crm,
205,CSエスカレーション,2,crm.aiHub.reviews.csEscalate,crm,
206,ERP・PIM・WMS等既存システムと双方向データパイプラインを構成します。,2,pages.marketingIntel.onboarding.stepConnectorDesc,pages,
207,Geniego-ROIへようこそ！,2,pages.marketingIntel.onboarding.welcomeTitle,pages,
208,LTV/CAC比率でどのチャネルが長期的に最も収益性が高いか分析します。,2,pages.marketingIntel.onboarding.stepChannelProfitDesc,pages,
209,Meta・Google・TikTok・Naver・KakaoのAPIキー入力だけで広告データが自動収集されます。,2,pages.marketingIntel.onboarding.stepAdsIntegrationDesc,pages,
210,P&L、収益性、照合、ESG、レポート。,2,pages.marketingIntel.onboarding.guideSecFinance,pages,
211,P&Lダッシュボード,2,pages.marketingIntel.onboarding.stepPnL,pages,
212,P&L分析、チャネル別収益性、ESG・レポート自動化,2,pages.marketingIntel.onboarding.roleFinanceDesc,pages,
213,Prepareを実行してカテゴリ提案を取得。,2,pages.writeback.runPrepareCategory,pages,
214,Prepareを実行してポリシーを検証。,2,pages.writeback.runPreparePolicy,pages,
215,REST APIキーを発行して外部システムとGeniego-ROIを統合します。,2,pages.marketingIntel.onboarding.stepAPIKeyDesc,pages,
216,ROIランキング,2,crm.aiHub.guideRoiName,crm,
217,SKU IDを選択または入力,2,pages.graphScore.phSkuId,pages,
218,SKUを入力,2,pages.writeback.skuPlaceholder,pages,
219,SKUを入力してください。,2,pages.writeback.errNoSku,pages,
220,SKU重み,2,pages.graphScore.weightSku,pages,
221,SLAモニタリング,2,ruleEnginePage.super.settingsSlaMonitor,ruleEnginePage,
222,Shapley Valueベースでどのチャネルが実際の売上に貢献したかを公正に測定します。,2,pages.marketingIntel.onboarding.stepAttributionDesc,pages,
223,Shopify・Coupang・Naver・Amazon APIを接続すると商品・在庫・注文がリアルタイム同期されます。,2,pages.marketingIntel.onboarding.stepChannelConnectDesc,pages,
224,Slackに承認通知を送信,2,pages.marketingIntel.marketingIntel.approvals.cfgSlackNotifyDesc,pages,
225,UGC/インフルエンサー,2,crm.email.ds.ugcInfluencer,crm,
226,UGCレビュー,2,crm.aiHub.guideUgcName,crm,
227,VIP・離脱リスク・再購入可能な顧客をAIが自動分類します。,2,pages.marketingIntel.onboarding.stepCRMDesc,pages,
228,Webポップアップ,2,ruleEnginePage.gNav.webPopup,ruleEnginePage,
229,✓ CSVダウンロード完了,2,crm.email.settlements.csvSuccess,crm,
230,このステップ完了時の予想効果,2,pages.marketingIntel.onboarding.expectedEffect,pages,
231,アカウント別実績,2,ruleEnginePage.accountPerf.pageTitle,ruleEnginePage,
232,アクション実行前に5分遅延,2,pages.marketingIntel.marketingIntel.approvals.cfgExecDelayDesc,pages,
233,アジア物流連携,2,pages.marketingIntel.onboarding.stepAsiaLogistics,pages,
234,アラートルール,2,crm.email.ds.badgeAlertRules,crm,
235,アラート条件,2,crm.email.ds.alertCondition,crm,
236,イベントスキーマ,2,ruleEnginePage.gNav.eventNorm,ruleEnginePage,
237,イベントタイプ,2,ruleEnginePage.operations.ai_eventType,ruleEnginePage,
238,インフルエンサーIDを選択または入力,2,pages.graphScore.phInfId,pages,
239,インフルエンサー・クリエイティブ・SKU・注文間のグラフネットワークを分析し、各ノードの貢献度をスコアリングします。,2,pages.graphScore.heroDesc,pages,
240,インフルエンサー重み,2,pages.graphScore.weightInfluencer,pages,
241,ウェブサイトポップアップキャンペーン管理,2,crm.aiHub.catalogSync.webPopup.pageSub,crm,
242,エスカレーション,2,crm.aiHub.reviews.escalationCount,crm,
243,エッジ重み = 貢献度指標,2,pages.graphScore.weightDesc,pages,
244,エンゲージメント,2,crm.aiHub.engagement,crm,
245,エンゲージメント率,2,crm.email.ds.fEngRate,crm,
246,オンボーディング完了。Geniego-ROIでROIを最大化しましょう。,2,pages.marketingIntel.onboarding.completionMsg,pages,
247,オンボーディング開始,2,pages.marketingIntel.onboarding.roleStarted,pages,
248,オーディエンスターゲティング,2,crm.email.ds.secAudienceTarget,crm,
249,カジュアル,2,crm.email.campaignMgr.toneCasual,crm,
250,カスタム画像アップロード,2,ruleEnginePage.operations.ai_uploadCustom,ruleEnginePage,
251,カテゴリ提案,2,pages.writeback.categorySuggestion,pages,
252,カレンダー,2,crm.aiHub.catalogSync.contentCal.tabCalendar,crm,
