category,namespace_l2,count
A,crm.contentCal,1456
A,pages.marketingIntel,1183
A,dash.operations,199
A,ruleEnginePage.dataProduct,110
A,ruleEnginePage.priceOpt,95
A,ruleEnginePage.kakao,71
A,ruleEnginePage.email,54
A,ruleEnginePage.returnsPortal,50
A,ruleEnginePage.aiInsights,29
A,pages.dashboard,23
A,marketing.marketing,15
A,cmpVal.adPerf,11
A,admin.menuCategories,6
A,admin.planLabels,3
A,topbar.searchResult,1
A,topbar.currentPageHelp,1
A,topbar.needMoreHelp,1
A,topbar.footerHelp,1
A,topbar.noHelpFound,1
A,topbar.tryOther,1
B,crm.contentCal,2091
B,pages.marketingIntel,2060
B,crm.email,346
B,dash.operations,89
B,crm.aiHub,87
B,ruleEnginePage.operations,85
B,pages.perms,64
B,pages.menu,64
B,ruleEnginePage.priceOpt,60
B,ruleEnginePage.returnsPortal,40
B,ruleEnginePage.wms,39
B,ruleEnginePage.kakao,31
B,ruleEnginePage.dataProduct,30
B,pages.onboarding,29
B,ruleEnginePage.supplyChain,24
B,cmpVal.aiPredict,23
B,pages.writeback,21
B,ruleEnginePage.aiInsights,16
B,pages.graphScore,12
B,ruleEnginePage.email,8
C,ruleEnginePage.operations,1467
C,pages.marketingIntel,1252
C,crm.aiHub,810
C,operations.marketing,667
C,operations.auto,319
C,ruleEnginePage.orderHub,246
C,operations.super,167
C,crm.contentCal,155
C,ruleEnginePage.marketing,149
C,dash.operations,130
C,operations.gNav,110
C,marketing.marketing,76
C,operations.gAiRec,75
C,operations.gBudget,66
C,ruleEnginePage.super,48
C,operations.acctPerf,39
C,operations.accountPerf,35
C,ruleEnginePage.dataProduct,32
C,ruleEnginePage.gCat,21
C,operations.apiKeys,20