key,value,reason,locale_count
dash.operations.marketing.csUnitCount,,empty,4
crm.contentCal.yearSuffix,",",single-punct,12
crm.contentCal.reviews.unitCount,",",single-punct,12
crm.contentCal.reviews.sms.countUnit,",",single-punct,12
crm.contentCal.reviews.sms.dismiss,OK,too-short,12
crm.contentCal.gSug.,,empty,4
crm.contentCal.crm.email.dismiss,OK,too-short,12
crm.contentCal.crm.unitMan,K,too-short,12
crm.contentCal.crm.dismiss,OK,too-short,12
crm.contentCal.crm.of,/,single-punct,12
crm.contentCal.catalogSync.conn.dwDesc,Dw,too-short,12
crm.contentCal.catalogSync.contentCal.yearSuffix,",",single-punct,12
gCat.,,empty,3
pages.marketingIntel.influencer.omniChannel.colId,ID,too-short,5
pages.marketingIntel.influencer.gSug.,,empty,5
pages.marketingIntel.influencer.catalogSync.conn.dwDesc,Dw,too-short,5
ruleEnginePage.priceOpt.,,empty,3
ruleEnginePage.kakao.testBtnIng,...,punct-only,3
pages.marketingIntel.kakao.testBtnIng,...,punct-only,3
pages.marketingIntel.influencer.reviews.unitCount,",",single-punct,3
pages.marketingIntel.influencer.reviews.sms.countUnit,",",single-punct,3
units.k,K,too-short,3
units.m,M,too-short,3
units.b,B,too-short,3