locale,status,removed_leaves,expected_removed,leaves_before,leaves_after,lines_before,lines_after,deletions,insertions,size_before,size_after,excision_mode,slice_start,slice_end,slice_bytes,sha_before,sha_after,reason
ko,applied,1135,1135,33231,32096,47493,46304,1189,0,1563190,1516588,A-not-last,943332,980874,37542,a36f53c588a8169997cf6bc4ff969a5aab202942ed2c2cebb5dedefb5d23d3b8,43c73d86ce56a3e43f5aa28bcad7154c0f51b8071351c40b5aa8e073b5ac9845,
en,applied,1320,1320,28028,26708,29073,27691,1382,0,1254805,1198491,B-last,515151,570215,55064,3a1d3b33cfece598867f2de7023cf95dae4126906a68a9f6f06179fb46783f34,f7fbb94db278abc5df0079f6dca3b9903afbedbee49a32ffc85b1416a04e5997,
ja,applied,1305,1305,23990,22685,24963,23604,1359,0,1153628,1097171,B-last,425202,475992,50790,d107ff396e118bfa99f5d24b415fda4fe54ae875bb5fa44ced86d667126a1437,a5e63f90a76ebd28fd75381e648fa1b979f7a473f0d6ffecbd0ae8de4d523c9c,
zh,applied,1305,1305,20394,19089,21295,19936,1359,0,869855,815035,B-last,536561,585813,49252,9ea2361a3cb31fa544a7682803602b1ca13f2b5c108332fdb15c09068c55cdb4,1edbb236dd7c4af859c4e9b6f0cc0b69dab6dc8ae119cce75d9b7382c081207a,
zh-TW,applied,1316,1316,31052,29736,32115,30745,1370,0,1363434,1308747,A-not-last,545823,596031,50208,40c443c97ed068588415e855254f8c5c1f3c6588e552468889cef83bf6a8336c,a5483eafeb4ea5fb33e84592ecd9e4a23e07af8838c5f5fd7c01a67b642f7183,
es,applied,1320,1320,28029,26709,29074,27692,1382,0,1256526,1200208,B-last,515805,570873,55068,f0bb157f00294838264a0753f0ed75054ac46cf7cb9d469701e79a7aa1a85f49,fdc13b8cccbd907b4952a3a46385a5583d63caf1d51f6efd25a6399acb91b6fa,
fr,applied,1320,1320,28029,26709,29074,27692,1382,0,1255560,1199246,B-last,514757,569819,55062,872b7090ceefa0367a799d01fdee3be045d58adc39744f1971f1ba2e23d2bccf,c5c957b61ff2ae243ee0ae4622b71290caac1a345a1302fbacb3f3cf6ceb09ad,
de,applied,1329,1329,29988,28659,31027,29644,1383,0,1347062,1290557,A-not-last,628463,683582,55119,50ff93e395f8c5034afb394904a710ec8321b4cc1564a92de1745bf8854bb706,5ad1b93e191daee179dce17d51241e2a1562f5942761dc3012cf90d0444b1067,
pt,applied,1314,1314,26846,25532,28465,27097,1368,0,1238682,1183022,A-not-last,472792,527298,54506,1b41baf32aeb5a11ca5490abf90ad6b58c4a5f7ab8befbc0937aaf7427106028,3308b40fadd30865115ac8e9d4507f2b9cbe05b6ca83fce8ae0a5a0183dae815,
ru,applied,1314,1314,26846,25532,28465,27097,1368,0,1244937,1189277,A-not-last,472762,527268,54506,a6b3bdb8e87a27f8d6b40d012704530ac94d24636870832420dc72bbeac48015,7a52cab66f5a303e60ab108080bb995f593fe5b6d1f51edc7b5c85f11a849757,
ar,applied,1314,1314,26847,25533,28466,27098,1368,0,1245141,1189481,A-not-last,472135,526641,54506,f8502d4d784ae2afb70673a0a09ab5ce11612302bbe7f74ffe152527d055324f,f570dada0b6bae5e513d0bb7d99b353e3b7c496369fb69e749c1b1dc02943401,
hi,applied,1314,1314,26846,25532,28465,27097,1368,0,1247929,1192269,A-not-last,472131,526637,54506,f1fbe0e09c3ea73a08fd2863148441a0ff7c29d13387d96863779341c6644edb,5b70c02962d54a3d2c52f58c33fd1ab4c2c422f314fae201bb390925e26462d9,
id,applied,1331,1331,32553,31222,33652,32267,1385,0,1439422,1383637,A-not-last,579753,634156,54403,db25c330bba257b824cfddd23984bcc947f46642cbcbb427e65ab5b42ed81849,f5cf1e030db7bcf6ac98b823fa782fb0239d75bf92aa812ba27cf347a9e26fb4,
th,applied,1331,1331,32509,31178,33610,32225,1385,0,1633293,1568941,A-not-last,586868,641628,54760,913afcb9d9ce60bfed74dec0d0078393c8cac9d43e6c7f8d44579e7d92b92e14,663a8a6dabd819b2731568bbb3c8dacfe4685c3695d9f92cf7b3f82d0a4a6874,
vi,applied,1331,1331,29710,28379,30761,29376,1385,0,1335344,1278292,A-not-last,574743,629321,54578,8782e562257218d4ab60160df46f803b02a37a4096fdea8a57d6fdeaf4aca6d9,57134286db257c7a113b293efebc67a9a2abb7e53bdc2e7634cb6c9f6fa1f666,